Lower,     m=16,n=1, i=110,     fi=30,     band=25,5,     obserAnalytic=7,     observModel=8,     long=16,992975,     valid=False,     error=0,     limit=1812,1056632497,     length=0,0408619177065361,     
Lower,     m=16,n=1, i=115,     fi=10,     band=15,5,     obserAnalytic=3,     observModel=4,     long=12,28254,     valid=False,     error=0,     limit=1815,48722127941,     length=0,087377043965688,     
Lower,     m=16,n=1, i=115,     fi=35,     band=25,5,     obserAnalytic=7,     observModel=8,     long=12,877969,     valid=False,     error=0,     limit=1815,48722127941,     length=0,0890075707608258,     
Upper,     m=16,n=1, i=115,     fi=45,     band=50,5,     obserAnalytic=12,     observModel=13,     long=22,448962,     valid=False,     error=0,     limit=1815,48722127941,     length=0,102075455036697,     
Lower,     m=16,n=1, i=120,     fi=15,     band=40,5,     obserAnalytic=9,     observModel=10,     long=16,208458,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0452100600384959,     
Upper,     m=16,n=1, i=120,     fi=25,     band=45,5,     obserAnalytic=11,     observModel=12,     long=16,808767,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0197643371625169,     
Lower,     m=16,n=1, i=120,     fi=55,     band=0,5,     obserAnalytic=0,     observModel=1,     long=5,558767,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0253588348835709,     
Lower,     m=16,n=1, i=125,     fi=5,band=35,5,     obserAnalytic=9,     observModel=10,     long=19,286686,     valid=False,     error=0,     limit=1821,76990798563,     length=0,116722305314738,     
Lower,     m=16,n=1, i=125,     fi=10,     band=10,5,     obserAnalytic=2,     observModel=3,     long=5,549211,     valid=False,     error=0,     limit=1821,76990798563,     length=0,106588520138318,     
Lower,     m=16,n=1, i=125,     fi=20,     band=10,5,     obserAnalytic=3,     observModel=4,     long=20,269615,     valid=False,     error=0,     limit=1821,76990798563,     length=0,0903017510278765,     
Upper,     m=16,n=1, i=125,     fi=35,     band=20,5,     obserAnalytic=8,     observModel=9,     long=22,459929,     valid=False,     error=0,     limit=1821,76990798563,     length=0,080141641173185,     
Upper,     m=16,n=1, i=125,     fi=45,     band=25,5,     obserAnalytic=8,     observModel=9,     long=22,49269,     valid=False,     error=0,     limit=1821,76990798563,     length=0,0146192970757717,     
Lower,     m=16,n=1, i=130,     fi=5,band=20,5,     obserAnalytic=5,     observModel=6,     long=22,47002,     valid=False,     error=0,     limit=1824,62796673972,     length=0,0599591869258234,     
Lower,     m=16,n=1, i=130,     fi=5,band=25,5,     obserAnalytic=7,     observModel=8,     long=7,778793,     valid=False,     error=0,     limit=1824,62796673972,     length=0,038865736242002,     
Upper,     m=16,n=1, i=130,     fi=40,     band=15,5,     obserAnalytic=6,     observModel=7,     long=5,540267,     valid=False,     error=0,     limit=1824,62796673972,     length=0,00603556360224644,     
Upper,     m=16,n=1, i=130,     fi=45,     band=5,5,     obserAnalytic=4,     observModel=5,     long=22,417962,     valid=False,     error=0,     limit=1824,62796673972,     length=0,164076524797395,     
Upper,     m=16,n=1, i=130,     fi=50,     band=0,5,     obserAnalytic=0,     observModel=1,     long=5,540267,     valid=False,     error=0,     limit=1824,62796673972,     length=0,0291535649155668,     
Upper,     m=16,n=1, i=130,     fi=55,     band=45,5,     obserAnalytic=10,     observModel=11,     long=22,462046,     valid=False,     error=0,     limit=1824,62796673972,     length=0,0759074170229042,     
Lower,     m=16,n=1, i=135,     fi=0,band=25,5,     obserAnalytic=6,     observModel=7,     long=5,531995,     valid=False,     error=0,     limit=1827,27125236829,     length=0,178419382151606,     
Lower,     m=16,n=1, i=135,     fi=0,band=25,5,     obserAnalytic=6,     observModel=7,     long=16,781995,     valid=False,     error=0,     limit=1827,27125236829,     length=0,178419382151731,     
