Upper,     m=16,n=1, i=100,     fi=65,     band=15,5,     obserAnalytic=10,     observModel=9,     long=22,491249,     valid=False,     error=0,     limit=1804,98140083869,     length=0,0175018043773889,     
Lower,     m=16,n=1, i=105,     fi=15,     band=0,5,     obserAnalytic=2,     observModel=1,     long=16,840437,     valid=False,     error=0,     limit=1808,59529412536,     length=0,0195717181013499,     
Lower,     m=16,n=1, i=110,     fi=0,band=15,5,     obserAnalytic=4,     observModel=3,     long=5,579452,     valid=False,     error=0,     limit=1812,1056632497,     length=0,0188235394914402,     
Lower,     m=16,n=1, i=110,     fi=0,band=15,5,     obserAnalytic=4,     observModel=3,     long=16,829452,     valid=False,     error=0,     limit=1812,1056632497,     length=0,0188235394915388,     
Lower,     m=16,n=1, i=110,     fi=10,     band=35,5,     obserAnalytic=7,     observModel=6,     long=21,8363,     valid=False,     error=0,     limit=1812,1056632497,     length=0,0697822863556929,     
Lower,     m=16,n=1, i=110,     fi=30,     band=25,5,     obserAnalytic=7,     observModel=6,     long=16,66593,     valid=False,     error=0,     limit=1812,1056632497,     length=0,0408619177065397,     
Upper,     m=16,n=1, i=110,     fi=35,     band=35,5,     obserAnalytic=12,     observModel=11,     long=5,579452,     valid=False,     error=0,     limit=1812,1056632497,     length=0,0216038048628233,     
Lower,     m=16,n=1, i=115,     fi=10,     band=15,5,     obserAnalytic=3,     observModel=2,     long=21,355202,     valid=False,     error=0,     limit=1815,48722127941,     length=0,0873770439656916,     
Lower,     m=16,n=1, i=115,     fi=20,     band=25,5,     obserAnalytic=6,     observModel=5,     long=22,491443,     valid=False,     error=0,     limit=1815,48722127941,     length=0,0171145286496959,     
Lower,     m=16,n=1, i=115,     fi=35,     band=25,5,     obserAnalytic=7,     observModel=6,     long=20,759773,     valid=False,     error=0,     limit=1815,48722127941,     length=0,089007570760824,     
Upper,     m=16,n=1, i=115,     fi=60,     band=20,5,     obserAnalytic=9,     observModel=8,     long=16,818871,     valid=False,     error=0,     limit=1815,48722127941,     length=0,0362063422125516,     
Lower,     m=16,n=1, i=120,     fi=10,     band=35,5,     obserAnalytic=9,     observModel=8,     long=13,384783,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0606232507150253,     
Lower,     m=16,n=1, i=120,     fi=10,     band=35,5,     obserAnalytic=9,     observModel=8,     long=20,23275,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0606232507150253,     
Lower,     m=16,n=1, i=120,     fi=15,     band=5,5,     obserAnalytic=2,     observModel=1,     long=5,558767,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0981583795724497,     
Lower,     m=16,n=1, i=120,     fi=15,     band=40,5,     obserAnalytic=9,     observModel=8,     long=17,409075,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0452100600384959,     
Upper,     m=16,n=1, i=120,     fi=45,     band=45,5,     obserAnalytic=12,     observModel=11,     long=22,45824,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0835198902483683,     
Upper,     m=16,n=1, i=120,     fi=50,     band=45,5,     obserAnalytic=12,     observModel=11,     long=22,474404,     valid=False,     error=0,     limit=1818,71608645086,     length=0,051192272185915,     
Upper,     m=16,n=1, i=120,     fi=70,     band=45,5,     obserAnalytic=14,     observModel=13,     long=5,558767,     valid=False,     error=0,     limit=1818,71608645086,     length=0,0410264307454549,     
Lower,     m=16,n=1, i=125,     fi=5,band=35,5,     obserAnalytic=9,     observModel=8,     long=14,311735,     valid=False,     error=0,     limit=1821,76990798563,     length=0,116722305314738,     
Lower,     m=16,n=1, i=125,     fi=15,     band=0,5,     obserAnalytic=1,     observModel=0,     long=22,486827,     valid=False,     error=0,     limit=1821,76990798563,     length=0,0263464658788486,     
Lower,     m=16,n=1, i=125,     fi=20,     band=10,5,     obserAnalytic=3,     observModel=2,     long=13,328806,     valid=False,     error=0,     limit=1821,76990798563,     length=0,0903017510278818,     
Lower,     m=16,n=1, i=125,     fi=20,     band=15,5,     obserAnalytic=4,     observModel=3,     long=5,549211,     valid=False,     error=0,     limit=1821,76990798563,     length=0,138799873115605,     
Lower,     m=16,n=1, i=130,     fi=5,band=25,5,     obserAnalytic=7,     observModel=6,     long=3,301741,     valid=False,     error=0,     limit=1824,62796673972,     length=0,038865736242002,     
Lower,     m=16,n=1, i=130,     fi=20,     band=5,5,     obserAnalytic=2,     observModel=1,     long=22,466518,     valid=False,     error=0,     limit=1824,62796673972,     length=0,0669640563440659,     
Upper,     m=16,n=1, i=130,     fi=35,     band=50,5,     obserAnalytic=13,     observModel=12,     long=16,790267,     valid=False,     error=0,     limit=1824,62796673972,     length=0,00540124770409989,     
Upper,     m=16,n=1, i=130,     fi=80,     band=35,5,     obserAnalytic=7,     observModel=6,     long=16,790267,     valid=False,     error=0,     limit=1824,62796673972,     length=0,092161435325945,     
Lower,     m=16,n=1, i=135,     fi=5,band=10,5,     obserAnalytic=3,     observModel=2,     long=1,052295,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0625219031544191,     
Lower,     m=16,n=1, i=135,     fi=15,     band=0,5,     obserAnalytic=1,     observModel=0,     long=4,73856,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0214081284668168,     
Upper,     m=16,n=1, i=135,     fi=15,     band=55,5,     obserAnalytic=16,     observModel=15,     long=5,531995,     valid=False,     error=0,     limit=1827,27125236829,     length=0,151057528547602,     
Upper,     m=16,n=1, i=135,     fi=25,     band=25,5,     obserAnalytic=10,     observModel=9,     long=22,483608,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0327845650655227,     
Upper,     m=16,n=1, i=135,     fi=75,     band=30,5,     obserAnalytic=2,     observModel=1,     long=22,48702,     valid=False,     error=0,     limit=1827,27125236829,     length=0,0259603364281702,     
Lower,     m=16,n=1, i=140,     fi=5,band=30,5,     obserAnalytic=11,     observModel=10,     long=22,473461,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0530776290106019,     
Lower,     m=16,n=1, i=140,     fi=20,     band=5,5,     obserAnalytic=1,     observModel=0,     long=6,10311,     valid=False,     error=0,     limit=1829,68251924628,     length=0,129417221165312,     
Lower,     m=16,n=1, i=140,     fi=30,     band=5,5,     obserAnalytic=3,     observModel=2,     long=22,409621,     valid=False,     error=0,     limit=1829,68251924628,     length=0,18075770700241,     
Upper,     m=16,n=1, i=140,     fi=40,     band=0,5,     obserAnalytic=2,     observModel=1,     long=5,52445,     valid=False,     error=0,     limit=1829,68251924628,     length=0,137775491203562,     
Upper,     m=16,n=1, i=140,     fi=45,     band=10,5,     obserAnalytic=4,     observModel=3,     long=22,451911,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0961776247403918,     
Upper,     m=16,n=1, i=140,     fi=50,     band=55,5,     obserAnalytic=12,     observModel=11,     long=22,476835,     valid=False,     error=0,     limit=1829,68251924628,     length=0,0463297656713735,     
Upper,     m=16,n=1, i=140,     fi=60,     band=40,5,     obserAnalytic=9,     observModel=8,     long=16,77445,     valid=False,     error=0,     limit=1829,68251924628,     length=0,152148113426378,     
Upper,     m=16,n=1, i=145,     fi=35,     band=15,5,     obserAnalytic=7,     observModel=6,     long=16,767679,     valid=False,     error=0,     limit=1831,84632385234,     length=0,170095833881909,     
Upper,     m=16,n=1, i=145,     fi=40,     band=15,5,     obserAnalytic=6,     observModel=5,     long=5,517679,     valid=False,     error=0,     limit=1831,84632385234,     length=0,155349314916117,     
Upper,     m=16,n=1, i=145,     fi=40,     band=50,5,     obserAnalytic=12,     observModel=11,     long=22,422418,     valid=False,     error=0,     limit=1831,84632385234,     length=0,155163082229478,     
Lower,     m=16,n=1, i=150,     fi=0,band=10,5,     obserAnalytic=5,     observModel=4,     long=11,136725,     valid=False,     error=0,     limit=1833,74904664111,     length=0,0906200979922183,     
Lower,     m=16,n=1, i=150,     fi=0,band=10,5,     obserAnalytic=5,     observModel=4,     long=22,386725,     valid=False,     error=0,     limit=1833,74904664111,     length=0,0906200979922147,     
Upper,     m=16,n=1, i=150,     fi=25,     band=5,5,     obserAnalytic=6,     observModel=5,     long=5,511725,     valid=False,     error=0,     limit=1833,74904664111,     length=0,180581670372262,     
Upper,     m=16,n=1, i=150,     fi=35,     band=35,5,     obserAnalytic=10,     observModel=9,     long=22,46548,     valid=False,     error=0,     limit=1833,74904664111,     length=0,069039380983611,     
Upper,     m=16,n=1, i=150,     fi=60,     band=45,5,     obserAnalytic=8,     observModel=7,     long=22,454903,     valid=False,     error=0,     limit=1833,74904664111,     length=0,0901938089447185,     
Lower,     m=16,n=1, i=155,     fi=15,     band=5,5,     obserAnalytic=3,     observModel=2,     long=9,947786,     valid=False,     error=0,     limit=1835,37890159144,     length=0,116350004702355,     
Upper,     m=16,n=1, i=155,     fi=15,     band=20,5,     obserAnalytic=11,     observModel=10,     long=16,756624,     valid=False,     error=0,     limit=1835,37890159144,     length=0,225153024128051,     
Upper,     m=16,n=1, i=155,     fi=40,     band=40,5,     obserAnalytic=10,     observModel=9,     long=22,407671,     valid=False,     error=0,     limit=1835,37890159144,     length=0,184657937377271,     
Lower,     m=16,n=1, i=160,     fi=15,     band=0,5,     obserAnalytic=1,     observModel=0,     long=14,382065,     valid=False,     error=0,     limit=1836,72593663233,     length=0,186883358764963,     
Upper,     m=16,n=1, i=160,     fi=60,     band=50,5,     obserAnalytic=8,     observModel=7,     long=5,502409,     valid=False,     error=0,     limit=1836,72593663233,     length=0,148557410008723,     
Lower,     m=16,n=1, i=165,     fi=5,band=0,5,     obserAnalytic=1,     observModel=0,     long=22,448656,     valid=False,     error=0,     limit=1837,78202802202,     length=0,102687164414817,     
Upper,     m=16,n=1, i=165,     fi=35,     band=20,5,     obserAnalytic=2,     observModel=1,     long=22,451971,     valid=False,     error=0,     limit=1837,78202802202,     length=0,096057044765903,     
