Upper,     m=4, n=1, i=1, fi=1,band=1,     obserAnalytic=1,     observModel=2,     long=0,005151,     valid=False,     error=0,     limit=7183,42264576897,     length=0,0103018993311892,     
Upper,     m=4, n=1, i=6, fi=44,     band=43,5,     obserAnalytic=1,     observModel=2,     long=0,008157,     valid=False,     error=0,     limit=7183,45875783822,     length=0,0163132890357218,     
Upper,     m=4, n=1, i=7, fi=40,     band=43,     obserAnalytic=1,     observModel=2,     long=67,521057,     valid=False,     error=0,     limit=7183,4721545857,     length=0,0153857256679828,     
Upper,     m=4, n=1, i=8, fi=39,     band=34,5,     obserAnalytic=0,     observModel=1,     long=22,521008,     valid=False,     error=0,     limit=7183,48760140213,     length=0,0319889734801961,     
Upper,     m=4, n=1, i=8, fi=51,     band=54,     obserAnalytic=1,     observModel=2,     long=67,521008,     valid=False,     error=0,     limit=7183,48760140213,     length=0,0111573681019763,     
Upper,     m=4, n=1, i=9, fi=23,     band=22,5,     obserAnalytic=1,     observModel=2,     long=0,021446,     valid=False,     error=0,     limit=7183,50509359257,     length=0,0428924311402596,     
Upper,     m=4, n=1, i=10,fi=19,     band=18,5,     obserAnalytic=1,     observModel=2,     long=0,019664,     valid=False,     error=0,     limit=7183,52462584016,     length=0,0393279712542878,     
Upper,     m=4, n=1, i=10,fi=35,     band=34,     obserAnalytic=1,     observModel=2,     long=0,009545,     valid=False,     error=0,     limit=7183,52462584016,     length=0,0190902952047836,     
Upper,     m=4, n=1, i=11,fi=16,     band=15,5,     obserAnalytic=1,     observModel=2,     long=0,012439,     valid=False,     error=0,     limit=7183,54619220766,     length=0,0248788416827637,     
Upper,     m=4, n=1, i=11,fi=30,     band=29,     obserAnalytic=1,     observModel=2,     long=0,013731,     valid=False,     error=0,     limit=7183,54619220766,     length=0,0274615051356051,     
Upper,     m=4, n=1, i=11,fi=33,     band=37,5,     obserAnalytic=1,     observModel=2,     long=67,520825,     valid=False,     error=0,     limit=7183,54619220766,     length=0,0430003742471143,     
Upper,     m=4, n=1, i=12,fi=26,     band=25,     obserAnalytic=1,     observModel=2,     long=0,004398,     valid=False,     error=0,     limit=7183,56978613914,     length=0,00879591603224839,     
Upper,     m=4, n=1, i=13,fi=32,     band=30,5,     obserAnalytic=1,     observModel=2,     long=0,017136,     valid=False,     error=0,     limit=7183,59540046188,     length=0,034272793593729,     
Upper,     m=4, n=1, i=13,fi=47,     band=44,5,     obserAnalytic=1,     observModel=2,     long=0,002154,     valid=False,     error=0,     limit=7183,59540046188,     length=0,00430827212598217,     
Upper,     m=4, n=1, i=14,fi=10,     band=9,5,     obserAnalytic=1,     observModel=2,     long=0,018716,     valid=False,     error=0,     limit=7183,62302738841,     length=0,0374325812735776,     
Upper,     m=4, n=1, i=14,fi=10,     band=16,5,     obserAnalytic=1,     observModel=2,     long=67,520585,     valid=False,     error=0,     limit=7183,62302738841,     length=0,022292063163448,     
Upper,     m=4, n=1, i=14,fi=36,     band=34,     obserAnalytic=1,     observModel=2,     long=0,012528,     valid=False,     error=0,     limit=7183,62302738841,     length=0,0250560959533459,     
Upper,     m=4, n=1, i=15,fi=15,     band=7,     obserAnalytic=0,     observModel=1,     long=22,520492,     valid=False,     error=0,     limit=7183,65265851881,     length=0,00548615936423857,     
Upper,     m=4, n=1, i=15,fi=49,     band=45,5,     obserAnalytic=1,     observModel=2,     long=0,013342,     valid=False,     error=0,     limit=7183,65265851881,     length=0,0266846033106916,     
Upper,     m=4, n=1, i=15,fi=52,     band=55,5,     obserAnalytic=1,     observModel=2,     long=67,520492,     valid=False,     error=0,     limit=7183,65265851881,     length=0,0192664088490346,     
Upper,     m=4, n=1, i=15,fi=55,     band=45,     obserAnalytic=0,     observModel=1,     long=22,520492,     valid=False,     error=0,     limit=7183,65265851881,     length=0,01435586354647,     
Upper,     m=4, n=1, i=15,fi=55,     band=58,     obserAnalytic=1,     observModel=2,     long=67,520492,     valid=False,     error=0,     limit=7183,65265851881,     length=0,00184803168360759,     
Upper,     m=4, n=1, i=15,fi=57,     band=52,5,     obserAnalytic=1,     observModel=2,     long=0,003523,     valid=False,     error=0,     limit=7183,65265851881,     length=0,00704613782408359,     
Upper,     m=4, n=1, i=15,fi=67,     band=56,     obserAnalytic=0,     observModel=1,     long=22,520492,     valid=False,     error=0,     limit=7183,65265851881,     length=0,0224797948414448,     
Upper,     m=4, n=1, i=16,fi=29,     band=27,     obserAnalytic=1,     observModel=2,     long=0,020442,     valid=False,     error=0,     limit=7183,68428484305,     length=0,0408836245830173,     
Upper,     m=4, n=1, i=16,fi=35,     band=32,5,     obserAnalytic=1,     observModel=2,     long=0,017905,     valid=False,     error=0,     limit=7183,68428484305,     length=0,0358104085712725,     
Upper,     m=4, n=1, i=17,fi=37,     band=34,     obserAnalytic=1,     observModel=2,     long=0,007233,     valid=False,     error=0,     limit=7183,71789674367,     length=0,0144669920495062,     
Upper,     m=4, n=1, i=17,fi=64,     band=57,     obserAnalytic=1,     observModel=2,     long=0,013449,     valid=False,     error=0,     limit=7183,71789674367,     length=0,0268989268849111,     
Lower,     m=4, n=1, i=18,fi=12,     band=2,5,     obserAnalytic=0,     observModel=2,     long=22,5,     valid=False,     error=0,     limit=7183,7534839985,     length=0,000135192280495744,     
Upper,     m=4, n=1, i=18,fi=29,     band=26,5,     obserAnalytic=1,     observModel=2,     long=0,010229,     valid=False,     error=0,     limit=7183,7534839985,     length=0,0204578711693486,     
Upper,     m=4, n=1, i=18,fi=34,     band=40,     obserAnalytic=1,     observModel=2,     long=67,520176,     valid=False,     error=0,     limit=7183,7534839985,     length=0,0280239724974791,     
Upper,     m=4, n=1, i=18,fi=44,     band=32,5,     obserAnalytic=0,     observModel=1,     long=22,520176,     valid=False,     error=0,     limit=7183,7534839985,     length=0,0131404084320081,     
