Upper,     m=2, n=1, i=46,fi=23,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005844,     valid=False,     error=14599,4693956588,     limit=14378,5345763476,     length=0,316574715442954,     
Upper,     m=2, n=1, i=46,fi=23,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005844,     valid=False,     error=14599,4693956588,     limit=14378,5345763476,     length=0,863434189902705,     
Upper,     m=2, n=1, i=46,fi=23,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005844,     valid=False,     error=14599,4693956588,     limit=14378,5345763476,     length=1,38997703082197,     
Upper,     m=2, n=1, i=46,fi=23,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005844,     valid=False,     error=14599,4693956588,     limit=14378,5345763476,     length=1,89469630409116,     
Upper,     m=2, n=1, i=47,fi=17,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=17246,1206723487,     limit=14378,5686128672,     length=0,134082942526078,     
Upper,     m=2, n=1, i=47,fi=18,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=16586,6056386225,     limit=14378,5686128672,     length=0,0626771921695308,     
Upper,     m=2, n=1, i=47,fi=18,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=16586,6056386225,     limit=14378,5686128672,     length=0,446205251521121,     
Upper,     m=2, n=1, i=47,fi=19,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=16008,0490371801,     limit=14378,5686128672,     length=0,402851132903294,     
Upper,     m=2, n=1, i=47,fi=19,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=16008,0490371801,     limit=14378,5686128672,     length=0,814530953026605,     
Upper,     m=2, n=1, i=47,fi=20,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=15486,0975184726,     limit=14378,5686128672,     length=0,328438159573409,     
Upper,     m=2, n=1, i=47,fi=20,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=15486,0975184726,     limit=14378,5686128672,     length=0,793622451235052,     
Upper,     m=2, n=1, i=47,fi=20,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=15486,0975184726,     limit=14378,5686128672,     length=1,23308215805235,     
Upper,     m=2, n=1, i=47,fi=21,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=15008,2453084075,     limit=14378,5686128672,     length=0,227456583228417,     
Upper,     m=2, n=1, i=47,fi=21,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=15008,2453084075,     limit=14378,5686128672,     length=0,740077373511042,     
Upper,     m=2, n=1, i=47,fi=21,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=15008,2453084075,     limit=14378,5686128672,     length=1,23072967560668,     
Upper,     m=2, n=1, i=47,fi=21,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=15008,2453084075,     limit=14378,5686128672,     length=1,69767220475376,     
Upper,     m=2, n=1, i=47,fi=22,     band=58,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=14564,619427438,     limit=14378,5686128672,     length=0,102679567160664,     
Upper,     m=2, n=1, i=47,fi=22,     band=58,5,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=14564,619427438,     limit=14378,5686128672,     length=0,658301418672266,     
Upper,     m=2, n=1, i=47,fi=22,     band=59,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=14564,619427438,     limit=14378,5686128672,     length=1,19487137323975,     
Upper,     m=2, n=1, i=47,fi=22,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=14564,619427438,     limit=14378,5686128672,     length=1,71102584145774,     
Upper,     m=2, n=1, i=47,fi=22,     band=60,     obserAnalytic=2,     observModel=2,     long=135,005738,     valid=False,     error=14564,619427438,     limit=14378,5686128672,     length=2,20524460086773,     
Upper,     m=2, n=1, i=48,fi=15,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=17918,8427919054,     limit=14378,6032080801,     length=0,0252441660800855,     
Upper,     m=2, n=1, i=48,fi=16,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=17160,5961383543,     limit=14378,6032080801,     length=0,298732384202566,     
Upper,     m=2, n=1, i=48,fi=17,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=16518,1927235402,     limit=14378,6032080801,     length=0,263216037399218,     
Upper,     m=2, n=1, i=48,fi=17,     band=60,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=16518,1927235402,     limit=14378,6032080801,     length=0,636315734142187,     
Upper,     m=2, n=1, i=48,fi=18,     band=59,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=15952,7987344774,     limit=14378,6032080801,     length=0,197942856653611,     
Upper,     m=2, n=1, i=48,fi=18,     band=59,5,     obserAnalytic=2,     observModel=2,     long=135,00563,     valid=False,     error=15952,7987344774,     limit=14378,6032080801,     length=0,627818810383445,     
