Upper,     m=8, n=3, i=1, fi=1,band=1,     obserAnalytic=2,     observModel=3,     long=0,000173,     valid=False,     error=0,     limit=10781,3562427412,     length=0,000345620181473549,     
Upper,     m=8, n=3, i=3, fi=54,     band=51,5,     obserAnalytic=0,     observModel=1,     long=33,762331,     valid=False,     error=0,     limit=10781,3610489146,     length=0,0250807633585524,     
Upper,     m=8, n=3, i=4, fi=39,     band=40,     obserAnalytic=2,     observModel=3,     long=33,762318,     valid=False,     error=0,     limit=10781,3652527196,     length=0,0248744702689336,     
Upper,     m=8, n=3, i=5, fi=13,     band=17,     obserAnalytic=3,     observModel=4,     long=11,262301,     valid=False,     error=0,     limit=10781,3706554224,     length=0,00505151290415995,     
Upper,     m=8, n=3, i=6, fi=14,     band=12,     obserAnalytic=1,     observModel=2,     long=11,262281,     valid=False,     error=0,     limit=10781,3772553819,     length=0,0191932646232544,     
Upper,     m=8, n=3, i=7, fi=23,     band=20,5,     obserAnalytic=1,     observModel=2,     long=11,262256,     valid=False,     error=0,     limit=10781,3850505933,     length=0,0269819041692987,     
Upper,     m=8, n=3, i=7, fi=50,     band=56,5,     obserAnalytic=4,     observModel=5,     long=0,015562,     valid=False,     error=0,     limit=10781,3850505933,     length=0,0311237496424184,     
Upper,     m=8, n=3, i=8, fi=59,     band=55,     obserAnalytic=1,     observModel=2,     long=11,262228,     valid=False,     error=0,     limit=10781,3940386886,     length=0,0273351255323409,     
Upper,     m=8, n=3, i=9, fi=10,     band=12,5,     obserAnalytic=2,     observModel=3,     long=33,762196,     valid=False,     error=0,     limit=10781,4042169375,     length=0,0121003423649313,     
Upper,     m=8, n=3, i=9, fi=16,     band=24,5,     obserAnalytic=4,     observModel=5,     long=0,014448,     valid=False,     error=0,     limit=10781,4042169375,     length=0,0288956850212969,     
Upper,     m=8, n=3, i=9, fi=18,     band=17,5,     obserAnalytic=2,     observModel=3,     long=0,008034,     valid=False,     error=0,     limit=10781,4042169375,     length=0,0160673075772024,     
Upper,     m=8, n=3, i=9, fi=27,     band=19,5,     obserAnalytic=0,     observModel=1,     long=33,762196,     valid=False,     error=0,     limit=10781,4042169375,     length=0,0160068502149002,     
Upper,     m=8, n=3, i=9, fi=40,     band=41,5,     obserAnalytic=2,     observModel=3,     long=33,762196,     valid=False,     error=0,     limit=10781,4042169375,     length=0,0140139092259517,     
Upper,     m=8, n=3, i=9, fi=45,     band=43,5,     obserAnalytic=2,     observModel=3,     long=0,00852,     valid=False,     error=0,     limit=10781,4042169375,     length=0,01704078259095,     
Lower,     m=8, n=3, i=10,fi=1,band=8,5,     obserAnalytic=3,     observModel=4,     long=44,996198,     valid=False,     error=0,     limit=10781,4155822478,     length=0,00760479904857903,     
Upper,     m=8, n=3, i=10,fi=4,band=12,     obserAnalytic=3,     observModel=4,     long=11,262161,     valid=False,     error=0,     limit=10781,4155822478,     length=0,0130113514415413,     
Upper,     m=8, n=3, i=10,fi=15,     band=11,5,     obserAnalytic=1,     observModel=2,     long=11,262161,     valid=False,     error=0,     limit=10781,4155822478,     length=0,00267441679056013,     
Upper,     m=8, n=3, i=10,fi=28,     band=27,     obserAnalytic=2,     observModel=3,     long=0,007514,     valid=False,     error=0,     limit=10781,4155822478,     length=0,0150281106650603,     
Upper,     m=8, n=3, i=10,fi=30,     band=32,     obserAnalytic=2,     observModel=3,     long=33,762161,     valid=False,     error=0,     limit=10781,4155822478,     length=0,0134228674673835,     
Upper,     m=8, n=3, i=10,fi=39,     band=37,5,     obserAnalytic=2,     observModel=3,     long=0,000491,     valid=False,     error=0,     limit=10781,4155822478,     length=0,000981459158957421,     
Upper,     m=8, n=3, i=10,fi=40,     band=41,5,     obserAnalytic=2,     observModel=3,     long=33,762161,     valid=False,     error=0,     limit=10781,4155822478,     length=0,0176110506498404,     
Upper,     m=8, n=3, i=10,fi=60,     band=57,     obserAnalytic=2,     observModel=3,     long=0,008485,     valid=False,     error=0,     limit=10781,4155822478,     length=0,0169708745507684,     
Upper,     m=8, n=3, i=11,fi=11,     band=2,     obserAnalytic=0,     observModel=1,     long=33,762121,     valid=False,     error=0,     limit=10781,4281311669,     length=0,02730835290199,     
Upper,     m=8, n=3, i=11,fi=15,     band=4,5,     obserAnalytic=0,     observModel=1,     long=0,000641,     valid=False,     error=0,     limit=10781,4281311669,     length=0,00128299124775921,     
Upper,     m=8, n=3, i=11,fi=18,     band=14,     obserAnalytic=1,     observModel=2,     long=11,262121,     valid=False,     error=0,     limit=10781,4281311669,     length=0,0159272005175541,     
Upper,     m=8, n=3, i=11,fi=38,     band=46,     obserAnalytic=3,     observModel=4,     long=11,262121,     valid=False,     error=0,     limit=10781,4281311669,     length=0,00665232843501151,     
Upper,     m=8, n=3, i=11,fi=42,     band=40,     obserAnalytic=2,     observModel=3,     long=0,012124,     valid=False,     error=0,     limit=10781,4281311669,     length=0,0242488395972913,     
Upper,     m=8, n=3, i=11,fi=49,     band=46,5,     obserAnalytic=2,     observModel=3,     long=0,001302,     valid=False,     error=0,     limit=10781,4281311669,     length=0,00260475299939245,     
Upper,     m=8, n=3, i=12,fi=14,     band=17,     obserAnalytic=2,     observModel=3,     long=33,762078,     valid=False,     error=0,     limit=10781,4418598823,     length=0,025337802519573,     
Upper,     m=8, n=3, i=12,fi=20,     band=15,5,     obserAnalytic=1,     observModel=2,     long=11,262078,     valid=False,     error=0,     limit=10781,4418598823,     length=0,0072739565885982,     
Upper,     m=8, n=3, i=12,fi=25,     band=13,5,     obserAnalytic=0,     observModel=1,     long=0,008275,     valid=False,     error=0,     limit=10781,4418598823,     length=0,0165493110152965,     
